Device,Station,Deployment Start,Deployment End,Latitude,Longitude,Device Depth,Notes
110873,PRE_02WPH90,9/24/2010 0:00,8/24/2012 23:59,30.38908,-88.6071,,
110875,PR_20Con_2,10/3/2010 0:00,4/12/2012 23:59,30.51561,-88.6019,,
110871,PRE_01EPH90,11/3/2010 0:00,8/24/2012 23:59,30.37828,-88.5641,,
111434,PR_20Con_2,6/7/2012 0:00,6/3/2021 23:59,30.51561,-88.6019,,
114591,PRE_02WPH90,9/20/2012 0:00,3/27/2013 23:59,30.38908,-88.6071,,
114592,PRE_01EPH90,9/20/2012 0:00,11/4/2015 23:59,30.37828,-88.5641,,
110873,PRE_02WPH90,3/28/2013 0:00,7/15/2013 23:59,30.38908,-88.6071,,
114591,PRE_02WPH90,7/15/2013 0:00,10/8/2017 23:59,30.38908,-88.6071,,
110874,PR_Billie.Joe.Johnson,10/23/2015 19:08,10/12/2023 23:59,30.61081,-88.64181,,
110878,PRE_01EPH90,12/15/2015 0:00,NA,30.37828,-88.5641,,missing 1/17/2025
119179,PR_NDL,3/26/2016 4:53,NA,30.65077,-88.63567,,missing 6/21/2022
110873,PR_McCoy,8/9/2016 4:09,,30.65945,-88.65472,,
111179,PR_Cumbest-4rkm,8/11/2017 6:28,NA,30.55857,-88.58312,,missing 9/14/22
106142,PRE_02WPH90,11/13/2017 0:00,4/20/2021 23:59,30.38908,-88.60709,,
119178,PR_English_Turn,1/1/2018 0:00,10/27/2020 23:59,30.6802,-88.6574,,last detection date
110880,PR_Big.Black,2/23/2018 2:07,,30.65364,-88.64928,,
125730,CH_Lower,3/20/2018 12:20,3/24/2019 23:59,30.99002,-88.72251,23,last detection date
132308,LF_Lower,3/20/2018 12:45,6/30/2019 23:59,30.98814,-88.74359,21,last detection date
132311,PR_SS_OG,3/20/2018 14:40,NA,31.35245,-89.30128,,missing 7/2/2018
134605,BO_Mouth,4/1/2019 0:00,,31.34488,-89.28221,,
134606,LF_N_BO,4/1/2019 0:00,NA,31.3503,-89.2811,,missing 09/14/2022
134607,BO_Glendale,4/1/2019 0:00,4/30/2024 16:12,31.3492,-89.306,,BROKEN
134604,PR_Cumbest,6/3/2019 20:51,12/17/2020 21:48,30.58183,-88.57207,,last detection date
132307,BO_R_SS,6/27/2019 15:35,6/16/2020 23:59,31.35167,-89.30342,19.5,
132346,PRE_MSC_Bluff_Creek,9/19/2019 0:00,NA,30.47615,-88.66589,,missing 11/17/23
132348,PRE_MSC_Bayou_Castille,9/19/2019 0:00,6/26/2024 9:24,30.47476,-88.64944,,
135790,PRE_Bluff_Creek_Mouth,6/17/2020 0:00,12/3/2021 12:08,30.45822,-88.6187,,
110870,PR_Cumbest+4rkm,6/19/2020 0:00,NA,30.59009,-88.5862,,missing 3/16/22
135791,PR_PMC,6/29/2020 0:00,,30.63362,-88.65176,,
136361,PRE_Crooked_Bayou,10/6/2020 0:00,5/25/2021 23:59,30.42824,-88.5984,9,
136363,PR_Con_NW,10/6/2020 0:00,,30.5171,-88.60134,12.5,
136365,PR_Con_SE,10/6/2020 0:00,NA,30.51637,-88.60083,10,missing 6/25/2024
136381,PRE_Black_Bird_Key,10/6/2020 0:00,5/25/2021 23:59,30.43054,-88.6113,,
136382,PRE_Esca_R_W_HWY613,10/6/2020 0:00,5/25/2021 16:36,30.41895,-88.521,8,
136383,PRE_Esca_Mouth,10/6/2020 0:00,NA,30.42356,-88.5542,7,missing 03/08/2022
136387,PRE_East_River_S_I10,10/6/2020 0:00,NA,30.4371,-88.5583,10.5,missing 03/08/2022
136389,PRE_Creole_Bayou_N,10/6/2020 5:22,NA,30.49941,-88.5834,15,missing 07/13/2023
136367,PRE_West_Round_1,10/15/2020 0:00,NA,30.30421,-88.6065,8.1,missing ??
136368,PRE_West_Round_2,10/15/2020 0:00,NA,30.3071,-88.6348,12.4,missing ??
136369,PRE_Pascagoula_Bay_E,10/15/2020 0:00,7/27/2021 23:59,30.34742,-88.59355,4.6,
136370,PRE_West_Round_3,10/15/2020 0:00,5/25/2021 23:59,30.31094,-88.66143,12.2,
136371,PRE_Pascagoula_Bay_WC,10/15/2020 0:00,NA,30.33489,-88.639,7.5,missing ??
136372,PRE_Pascagoula_Bay_SW,10/15/2020 0:00,5/25/2021 23:59,30.34049,-88.6684,8.2,
136375,PRE_Singing_River_Isl_NW,10/15/2020 0:00,5/25/2021 17:58,30.33523,-88.5868,3.6,
136377,PRE_Pascagoula_Bay_EC,10/15/2020 0:00,NA,30.33195,-88.6178,5.6,missing ??
136379,PRE_Rabbit_E,10/15/2020 0:00,NA,30.35811,-88.5933,5.1,missing ??
136380,PRE_Pascagoula_Bay_C,10/15/2020 0:00,NA,30.34702,-88.6175,3.6,missing ??
136384,PRE_Pascagoula_Bay_SE,10/15/2020 0:00,NA,30.32708,-88.5927,6.1,missing ??
136374,PRE_Bayou_Chemise_W,11/6/2020 0:00,5/25/2021 23:59,30.39419,-88.6017,10,
136376,PRE_Bayou_Chemise_E,11/6/2020 0:00,5/25/2021 23:59,30.39925,-88.585,10.2,
136378,PRE_Old_Place,11/6/2020 0:00,5/25/2021 23:59,30.3829,-88.6097,11.5,
136385,PRE_Marsh_Lake,11/6/2020 0:00,5/25/2021 23:59,30.3826,-88.5837,4.1,
136362,PRE_Shepard,11/11/2020 0:00,5/25/2021 23:59,30.36179,-88.6268,5.1,
136364,PRE_Twin_Islands_E,11/11/2020 0:00,5/25/2021 23:59,30.36009,-88.605,9.9,
136366,PRE_Krebs_Lake,11/11/2020 0:00,5/25/2021 23:59,30.38382,-88.55936,3.7,
136386,PRE_Bayou_Pierre ,11/11/2020 0:00,5/25/2021 23:59,30.37536,-88.6111,4,
136388,PRE_Pascagoula_Pier,11/11/2020 0:00,5/25/2021 23:59,30.33465,-88.536781,7.2,
136360,PRE_Catch-em-all,11/11/2020 13:03,5/25/2021 9:36,30.39677,-88.5695,5.1,
136124,LF_Hwy29,1/21/2021 0:00,8/26/2021 23:59,31.22138,-89.0529,,
136126,LF_Lower,1/21/2021 0:00,NA,30.98636,-88.7377,,missing ??
136130,PR_Merrill,1/21/2021 0:00,NA,30.97701,-88.7258,,missing ??
136131,LF_Sims,1/21/2021 0:00,NA,31.26069,-89.2265,,missing ??
136141,LF_Hwy15,1/21/2021 0:00,8/26/2021 23:59,31.18276,-88.9201,,
136144,CH_Lower,1/21/2021 0:00,8/30/2024 12:08,30.99262,-88.726,,
137119,BO_N_Upper,2/1/2021 12:00,NA,31.35841,-89.3236,,missing 05/03/2023
136146,BO_Lux,2/1/2021 13:00,8/23/2021 12:12,31.44306,-89.4061,3.5,
136127,CH_Leakesville,2/2/2021 0:00,8/26/2021 23:59,31.15435,-88.54784,6,
136132,LF_I588,2/2/2021 0:00,9/13/2021 11:04,31.6221,-89.32742,6,
136135,BO_ChurchRd,2/2/2021 0:00,2/16/2022 12:56,31.52556,-89.59633,6,
136136,BO_Seminary,2/2/2021 0:00,2/16/2022 23:59,31.56184,-89.5045,2.5,
136138,CH_Stonewall,2/2/2021 0:00,9/14/2021 11:27,32.12998,-88.8117,6,
136142,BO_Lower,2/2/2021 0:00,9/13/2021 23:59,31.37423,-89.3497,3,
136147,LF_Hwy84,2/2/2021 0:00,9/13/2021 9:50,31.70844,-89.40695,6,
136148,LF_I590,2/2/2021 0:00,9/13/2021 12:22,31.55571,-89.316567,6,
136149,CH_Enterprise,2/2/2021 0:00,9/14/2021 11:00,32.17464,-88.81944,6,
136150,BO_I589,2/2/2021 0:00,8/23/2021 23:59,31.47148,-89.52192,2.5,
136152,LF_SmithCo,2/2/2021 0:00,8/20/2021 23:59,31.82819,-89.4074,,
136153,BO_R_Peps_Point,2/2/2021 0:00,9/14/2021 23:59,31.3955,-89.36656,,
136170,BO_Hwy49,2/2/2021 0:00,9/13/2021 23:59,31.42551,-89.415524,,
485639,BO_N_Pit,2/2/2021 14:53,1/11/2023 14:55,31.35237,-89.3075,,
485638,BO_R_SS_N,2/2/2021 16:26,,31.35024,-89.3049,,
136129,LF_Eastabuchie,2/3/2021 0:00,NA,31.43561,-89.29932,,missing ??
136155,PE_S_Haley,2/3/2021 0:00,8/20/2021 23:59,32.02952,-90.24689,,
136158,PE_Bryam,2/3/2021 0:00,8/20/2021 23:59,32.17722,-90.24343,,
136159,PE_Holcomb_Branch,2/3/2021 0:00,8/20/2021 23:59,32.12015,-90.24136,,
136160,PE_Spillway,2/3/2021 0:00,8/20/2021 23:59,32.32571,-90.14644,,
136163,PE_Hopewell,2/3/2021 0:00,8/20/2021 23:59,31.95609,-90.19155,,
136173,PE_Jackson,2/3/2021 0:00,7/11/2023 13:46,32.23698,-90.20944,,
136145,LF_Hardy,2/3/2021 14:17,3/28/2025 0:00,31.32744,-89.2672,,missing 3/28/2025
136159,LF_Hardy,4/11/2025 15:06,,31.32744,-89.2672,,
136133,ST_Mouth,2/4/2021 0:00,8/20/2021 23:59,31.84955,-90.12735,,
136157,ST_Bridgeport,2/4/2021 0:00,8/20/2021 23:59,31.84645,-90.09093,,
136166,PE_Georgetown,2/4/2021 0:00,8/20/2021 23:59,31.86906,-90.13693,,
136156,BC_HWY48,2/9/2021 0:00,8/23/2021 23:59,31.11719,-90.25168,,
136177,PE_Walkiah_Bluff,2/9/2021 0:00,,30.57059,-89.80761,,
136178,BC_Franklinton,2/9/2021 0:00,8/23/2021 23:59,30.84353,-90.16171,6,
136180,BC_HWY38,2/9/2021 0:00,8/23/2021 23:59,30.9224,-90.20458,6,
136183,BC_HWY570,2/9/2021 0:00,8/23/2021 23:59,31.29738,-90.39497,7,
136137,PE_Fridays_Ditch,2/10/2021 0:00,,30.2656,-89.67418,,
136167,BC_W_Walkiah,2/10/2021 0:00,NA,30.56877,-89.82789,6,missing ??
136161,PE_S_Columbia,3/11/2021 0:00,8/20/2021 23:59,31.08775,-89.7836,,
136165,PE_HWY44,3/11/2021 0:00,8/23/2021 23:59,31.36441,-89.95438,,
136168,PE_GP_N,3/11/2021 0:00,8/20/2021 23:59,31.65734,-90.12485,,
136171,PE_Columbia,3/11/2021 0:00,8/20/2021 23:59,31.23824,-89.84654,,
136172,PE_Monticello,3/11/2021 0:00,8/20/2021 23:59,31.55384,-90.08772,,
136181,PE_Oma,3/11/2021 0:00,8/20/2021 23:59,31.71933,-90.1056,,
136164,PE_HWY26,3/12/2021 0:00,7/1/2024 14:24,30.79289,-89.8203,,
136169,PE_PoolsBluff_S,3/12/2021 0:00,7/1/2024 11:27,30.70299,-89.84561,,
136174,PE_Warren_Lake,3/12/2021 0:00,8/23/2021 23:59,30.91234,-89.76366,,
136175,PE_Upper_Sill,3/12/2021 0:00,,30.62575,-89.86669,,
136179,PE_Lower_Sill,3/12/2021 0:00,8/7/2021 23:59,30.62089,-89.86513,,last detection date
136182,PE_PoolsBluff_N,3/12/2021 0:00,,30.70883,-89.84321,,
136162,BC_S_Choctaw,3/22/2021 0:00,9/15/2023 10:40,30.66992,-90.00143,,
136176,BC_HWY437,3/22/2021 0:00,NA,30.72023,-90.08329,,missing ??
136125,CH_Chicora,3/23/2021 0:00,9/14/2021 23:59,31.55416,-88.5524,,
136134,CH_Waynesboro,3/24/2021 0:00,3/1/2023 13:05,31.68227,-88.6832,,
136139,CH_Rhonda,3/26/2021 0:00,9/14/2021 23:59,31.85737,-88.6866,,
136128,CH_DeSoto,3/27/2021 0:00,9/14/2021 12:28,31.97324,-88.7043,,
136143,CH_Quitman,3/28/2021 0:00,,32.0433,-88.7432,,
136154,PE_478,3/31/2021 0:00,8/23/2021 23:59,31.79063,-90.14235,,
136373,PRE_02WPH90,4/20/2021 0:00,,30.38908,-88.60709,,
111434,PR_20Con_2,6/4/2021 0:00,6/23/2021 23:59,30.51561,-88.6019,,
137118,BO_N_Mid,3/21/2021 0:00,,31.35662,-89.3107,,first detection date
136361,PRE_Little_Bear_Bayou,6/16/2021 0:00,10/1/2021 13:58,30.52055,-88.61295,,last detection date
105266,PR_20Con_2,6/23/2021 0:00,11/12/2021 14:00,30.51561,-88.6019,,
136362,PR_SPMC,7/12/2021 0:00,10/1/2021 13:11,30.6305,-88.64825,,
136388,PR_SDL,7/12/2021 12:51,10/1/2021 12:15,30.64864,-88.64485,,
136381,PR_PMC+1rkm,7/12/2021 13:23,10/1/2021 12:29,30.64043,-88.64702,,
136378,PR_Cumbest+1rkm,7/13/2021 0:00,10/1/2021 14:33,30.58924,-88.57671,,
136386,PR_Caswell_Lake,7/13/2021 0:00,10/1/2021 14:06,30.59873,-88.58758,,
136360,PR_Cumbest-1rkm,7/13/2021 9:49,10/1/2021 15:04,30.57858,-88.582,16,
136374,PR_Cumbest_Lower,7/13/2021 10:30,10/1/2021 14:57,30.58259,-88.57699,13,
136364,PR_Cumbest_Upper,7/13/2021 15:35,10/1/2021 14:27,30.58631,-88.57533,25,
136382,PR_Pascagoula_Bluff,7/13/2021 17:26,10/1/2021 13:40,30.59881,-88.6405,,
136385,PR_BJJ+1rkm,7/13/2021 18:05,10/1/2021 13:20,30.62294,-88.64416,16,
121067,BI_DK1,9/9/2021 9:43,11/8/2021 11:10,30.24301,-88.86012,2,
112916,BI_ES21,9/9/2021 9:45,11/8/2021 11:27,30.2429,-88.863,3.8,
120603,BI_SIP3,9/9/2021 11:15,11/8/2021 13:37,30.2164,-89.028,5.6,
120605,BI_SIP5,9/9/2021 11:04,11/8/2021 13:58,30.2213,-89.0513,4.4,
120606,BI_SIP6,9/9/2021 10:59,11/8/2021 14:05,30.224,-89.0648,3.2,
112908,BI_WS4,9/9/2021 10:41,11/8/2021 14:26,30.2082,-88.9875,4.9,
137599,BI_CC_NO2,9/27/2021 10:56,12/13/2021 13:01,30.2502,-88.9242,5,
124185,BI_ES_NO1,9/27/2021 10:40,2/7/2022 23:59,30.2608,-88.8873,5.6,
112913,BI_NDK3,9/27/2021 14:49,3/17/2022 11:11,30.2539,-88.8081,3,
119177,BI_SIP1,9/9/2021 11:26,7/8/2022 13:25,30.2126,-89.0024,5.8,
121057,BI_HS1,9/27/2021 16:55,7/8/2022 13:34,30.2329,-88.76,6.5,
124193,BI_DK15,9/9/2021 8:32,7/8/2022 14:37,30.2364,-88.7796,3.8,
112910,BI_HS2,9/27/2021 17:05,7/8/2022 15:20,30.236,-88.7301,5.7,
112911,BI_NDK5,9/27/2021 16:44,7/8/2022 16:04,30.2543,-88.7839,2.5,
114201,BI_NDK8,9/27/2021 16:37,7/8/2022 16:12,30.2544,-88.7715,6.8,
121065,BI_DK13,9/9/2021 8:41,7/8/2022 16:27,30.2452,-88.7906,4.3,
121068,BI_NDK4,9/27/2021 14:45,7/8/2022 16:35,30.2539,-88.7958,2.4,
110876,BI_HN1,9/27/2021 16:33,7/8/2022 16:54,30.2535,-88.7611,5.8,
120611,BI_NDK3,3/17/2022 11:15,7/12/2022 10:45,30.2539,-88.8081,3,
124188,BI_DK11,9/9/2021 8:50,7/12/2022 10:50,30.243935,-88.80098,3.4,
112907,BI_SDK4,9/27/2021 12:43,7/12/2022 10:58,30.2388,-88.7971,4.3,
133455,BI_SDK3,9/27/2021 12:51,7/12/2022 11:04,30.2409,-88.8202,3.1,
121060,BI_DK9,9/9/2021 9:06,7/12/2022 11:08,30.2467,-88.8137,3.2,
111438,BI_NDK7,9/27/2021 14:52,7/12/2022 11:13,30.2562,-88.8203,3.7,
121064,BI_DK7,9/9/2021 9:17,7/12/2022 11:16,30.24723,-88.82573,3.1,
115342,BI_SDK5,9/27/2021 12:56,7/12/2022 11:24,30.241,-88.8315,3.2,
121056,BI_DK5,9/9/2021 9:21,7/12/2022 11:28,30.2494,-88.8368,3.6,
112909,BI_NDK2,9/27/2021 14:58,7/12/2022 11:32,30.2561,-88.8323,6,
110884,BI_NDK6,9/27/2021 15:02,7/12/2022 11:36,30.2575,-88.8439,6.1,
121063,BI_SDK2,9/27/2021 13:00,7/12/2022 11:43,30.2428,-88.843,4.4,
124186,BI_DK3,9/9/2021 9:30,7/12/2022 11:48,30.24551,-88.84633,2.2,
121067,BI_NDK1,12/13/2021 11:55,7/12/2022 11:52,30.2559,-88.8561,5.4,
485275,BI_DK1,11/8/2021 11:21,7/12/2022 11:58,30.2485,-88.8607,2,
121059,BI_SDK1,9/27/2021 13:05,7/12/2022 12:03,30.2409,-88.854,2.6,
487506,BI_ES21,11/8/2021 11:31,7/12/2022 12:08,30.2429,-88.863,3.8,
102350,CamilleCut,9/9/2021 12:02,2/7/2022 11:52,30.2295,-88.9251,5,observed missing 12/2/2021 and found on Ship 2/7/2022
124187,BI_ES20,9/9/2021 9:51,7/12/2022 12:11,30.243,-88.8689,3.9,
112912,BI_ES24,9/9/2021 9:55,7/12/2022 12:15,30.239,-88.8747,4.2,
112914,BI_ES25,9/9/2021 9:58,7/12/2022 12:20,30.2344,-88.8819,4.4,
112905,BI_ES26,9/9/2021 10:01,7/12/2022 12:23,30.228,-88.8872,5.1,
102343,BI_CC17,9/9/2021 10:05,7/12/2022 12:30,30.2215,-88.9023,4.9,
102350,BI_CC16,2/23/2022 11:25,7/12/2022 12:34,30.2174,-88.9115,3.1,
137607,BI_CC15,9/9/2021 10:12,7/12/2022 12:37,30.2145,-88.9204,3.9,
137600,BI_CC_SO1,9/27/2021 8:40,7/12/2022 12:42,30.2037,-88.9203,5.9,
137606,BI_CC14,9/9/2021 10:16,7/12/2022 12:49,30.2128,-88.9297,3.8,
136875,MSS_CHNL_GP_LT_33,9/21/2021 0:00,1/29/2025 0:00,30.24754,-89.00331,,first detection date
137143,MSS_PWON,9/24/2021 9:18,NA,30.34594,-88.64716,6.2,missing 1/29/2025
137124,MSS_PWOW,9/24/2021 9:29,,30.3441,-88.64921,6.5,
485640,MSS_PWOC,9/24/2021 9:35,NA,30.34423,-88.64699,6.4,missing 01/29/2025
137125,MSS_PWOE,9/24/2021 9:40,NA,30.3442,-88.64493,6.3,missing 1/29/2025
137147,MSS_PWOS,9/24/2021 9:45,NA,30.34248,-88.64703,6.6,missing 10/7/22
137146,MSS_PWLW,9/24/2021 10:05,3/26/2024 10:39,30.33628,-88.66595,8,
485644,MSS_PWLC,9/24/2021 10:18,3/26/2024 10:25,30.33627,-88.66397,7.9,
137138,MSS_PWLN,9/24/2021 10:25,3/26/2024 10:13,30.33808,-88.66404,7.7,
137135,MSS_PWLS,9/24/2021 10:35,3/26/2024 10:33,30.33457,-88.6639,8,
137126,MSS_PWLE,9/24/2021 10:46,3/26/2024 10:47,30.33627,-88.66182,7.6,
137132,MSS_PELW,9/24/2021 11:01,NA,30.33243,-88.652,7.6,missing 6/6/24
485647,MSS_PELC,9/24/2021 11:09,NA,30.3318,-88.65015,7.5,missing 8/17/23
137142,MSS_PELN,9/24/2021 11:14,6/6/2024 9:13,30.33343,-88.64938,7.4,
137162,MSS_PEOW,9/24/2021 11:23,3/6/2024 15:28,30.33287,-88.63614,6.7,
137134,MSS_PEOC,9/24/2021 11:30,NA,30.3329,-88.63409,6.6,missing 12/11/22
137128,MSS_PEON,9/24/2021 11:35,NA,30.33462,-88.63416,6.6,missing 3/6/2024
137154,MSS_PERW,9/24/2021 12:02,,30.33637,-88.59023,5.3,
137156,MSS_PERC,9/24/2021 12:16,,30.33623,-88.58813,1.6,
137145,MSS_PERN,9/24/2021 12:26,,30.33797,-88.58823,5.1,
137155,MSS_PWRS,9/24/2021 12:44,,30.34611,-88.59366,5.1,
485643,MSS_PWRC,9/24/2021 12:55,8/5/2025 11:32,30.34776,-88.59362,1.6,
485643,MSS_PWRC,8/8/2025 9:10,,30.34776,-88.59362,1.6,
137163,MSS_PWRW,9/24/2021 13:10,NA,30.34777,-88.59569,1.6,missing 1/29/2025
137161,MSS_PWRN,9/24/2021 13:25,,30.3495,-88.5936,1.6,
137152,MSS_PWRE,9/24/2021 13:42,,30.34777,-88.59152,2.4,
124190,BI_WS9,9/9/2021 10:23,7/12/2022 12:55,30.2072,-88.947,5.3,
124191,BI_WS8,9/9/2021 10:28,7/12/2022 12:59,30.2039,-88.9584,6.2,
133453,BI_WS_SO1,9/27/2021 8:52,7/12/2022 13:04,30.1934,-88.9576,6.6,
112908,BI_WS7,12/13/2021 12:23,7/12/2022 13:11,30.2034,-88.97,6.4,
112903,BI_WS3,9/9/2021 10:37,7/12/2022 13:17,30.205,-88.9817,5.2,
121053,BI_WS2,9/9/2021 11:31,7/12/2022 13:32,30.22217,-88.98435,7.4,
121061,BI_WS1,9/9/2021 11:34,7/12/2022 13:35,30.2162,-88.9852,8.1,
112901,BI_ES19,9/9/2021 12:41,7/13/2022 11:13,30.2526,-88.8651,4.8,
112906,BI_ES18,9/9/2021 12:37,7/13/2022 11:17,30.2522,-88.8729,5,
112902,BI_ES23,9/9/2021 12:33,7/13/2022 11:24,30.25079,-88.88783,2.1,
124192,BI_ES22,9/9/2021 12:29,7/13/2022 11:29,30.24673,-88.89388,1.9,
137605,BI_CC13,9/9/2021 12:25,7/13/2022 11:34,30.2372,-88.9002,5,
105264,BI_CC8,9/9/2021 12:21,7/13/2022 11:37,30.2347,-88.907,5,
137604,BI_CC12,9/9/2021 12:17,7/13/2022 11:41,30.2285,-88.909,5,
137599,BI_CC7,12/13/2021 13:23,7/13/2022 11:45,30.232,-88.9163,5,
137603,BI_CC11,9/9/2021 12:07,7/13/2022 11:49,30.2258,-88.9188,5,
112916,BI_CC6,12/13/2021 12:55,7/13/2022 11:52,30.2295,-88.9251,,Redeployed with receiver 112916
137602,BI_CC10,9/9/2021 11:58,7/13/2022 11:57,30.2238,-88.9278,5,
137601,BI_CC5,9/9/2021 11:53,7/13/2022 12:01,30.2269,-88.9345,5,
105267,BI_CC9,9/9/2021 11:49,7/13/2022 12:05,30.2216,-88.936,5,
124194,BI_WS6,9/9/2021 11:45,7/13/2022 12:11,30.2208,-88.9491,4.3,
112918,BI_WS5,9/9/2021 11:40,7/13/2022 12:17,30.2185,-88.9622,7,
119180,BI_SIP2,9/9/2021 11:20,7/13/2022 12:32,30.2141,-89.015,5.9,
133461,BI_SIP3,11/8/2021 13:43,7/13/2022 12:38,30.2164,-89.028,5.6,
110871,BI_SIP4,9/9/2021 11:10,7/13/2022 12:44,30.2177,-89.0402,5,
133458,BI_SIP5,11/8/2021 14:01,7/13/2022 12:50,30.2213,-89.0513,4.4,
133456,BI_SIP6,11/8/2021 14:08,7/13/2022 12:55,30.224,-89.0648,3.2,
133451,BI_WS_NO2,9/27/2021 11:16,7/21/2022 23:59,30.2388,-88.9615,5.6,
